1: (HighCard, ['2', '3', 'T', '4', 'Q'])
943: (FourOfAKind, ['T', '5', 'T', 'T', 'T'])
944: (FourOfAKind, ['T', '7', 'T', 'T', 'T'])
945: (FourOfAKind, ['T', 'T', 'J', 'T', '8'])
946: (FourOfAKind, ['T', 'T', 'J', 'T', 'K'])
947: (FourOfAKind, ['T', 'T', 'J', 'A', 'T'])
948: (FourOfAKind, ['T', 'T', '4', 'T', 'T'])
949: (FourOfAKind, ['T', 'T', '6', 'T', 'T'])
950: (FourOfAKind, ['T', 'T', 'T', '2', 'T'])
951: (FourOfAKind, ['T', 'T', 'T', '3', 'T'])
952: (FourOfAKind, ['T', 'T', 'T', '8', 'T'])
953: (FourOfAKind, ['T', 'T', 'T', '9', 'T'])
954: (FourOfAKind, ['T', 'T', 'A', 'T', 'T'])
955: (FourOfAKind, ['T', 'Q', 'Q', 'Q', 'Q'])
956: (FourOfAKind, ['T', 'K', 'T', 'T', 'T'])
957: (FourOfAKind, ['Q', 'J', '2', 'Q', 'Q'])
958: (FourOfAKind, ['Q', 'J', '7', 'J', '7'])
959: (FourOfAKind, ['Q', '2', 'Q', 'Q', 'Q'])
960: (FourOfAKind, ['Q', '3', 'J', '3', '3'])
961: (FourOfAKind, ['Q', '4', 'Q', 'Q', 'Q'])
962: (FourOfAKind, ['Q', '8', '8', '8', '8'])
963: (FourOfAKind, ['Q', '9', '9', '9', '9'])
964: (FourOfAKind, ['Q', 'T', 'T', 'T', 'T'])
965: (FourOfAKind, ['Q', 'Q', '6', 'Q', 'Q'])
966: (FourOfAKind, ['Q', 'Q', '8', 'Q', 'Q'])
967: (FourOfAKind, ['Q', 'Q', 'Q', 'Q', '5'])
968: (FourOfAKind, ['Q', 'Q', 'Q', 'Q', '7'])
969: (FourOfAKind, ['Q', 'Q', 'K', 'Q', 'Q'])
970: (FourOfAKind, ['Q', 'K', 'K', 'K', 'K'])
971: (FourOfAKind, ['Q', 'A', 'Q', 'Q', 'Q'])
972: (FourOfAKind, ['K', 'J', 'Q', 'Q', 'Q'])
973: (FourOfAKind, ['K', '2', 'K', 'K', 'K'])
974: (FourOfAKind, ['K', '6', '6', 'J', '6'])
975: (FourOfAKind, ['K', '9', 'K', 'K', 'K'])
976: (FourOfAKind, ['K', 'K', '9', 'K', 'J'])
977: (FourOfAKind, ['K', 'K', 'T', 'K', 'K'])
978: (FourOfAKind, ['K', 'K', 'K', 'K', '3'])
979: (FourOfAKind, ['K', 'A', 'A', 'A', 'J'])
980: (FourOfAKind, ['K', 'A', 'A', 'A', 'A'])
981: (FourOfAKind, ['A', '3', '3', '3', '3'])
982: (FourOfAKind, ['A', '7', 'A', 'A', 'A'])
983: (FourOfAKind, ['A', 'Q', 'A', 'A', 'A'])
984: (FourOfAKind, ['A', 'A', 'J', '2', 'A'])
985: (FourOfAKind, ['A', 'A', '2', 'A', 'A'])
986: (FourOfAKind, ['A', 'A', 'A', '8', 'A'])
987: (FiveOfAKind, ['J', 'J', 'J', 'J', 'J'])
988: (FiveOfAKind, ['J', 'J', 'J', 'J', '8'])
989: (FiveOfAKind, ['J', '4', '4', '4', '4'])
990: (FiveOfAKind, ['J', '5', '5', '5', '5'])
991: (FiveOfAKind, ['J', '6', '6', '6', '6'])
992: (FiveOfAKind, ['J', 'A', 'A', 'A', 'A'])
993: (FiveOfAKind, ['2', 'J', '2', '2', '2'])
994: (FiveOfAKind, ['3', '3', '3', '3', 'J'])
995: (FiveOfAKind, ['7', '7', '7', '7', 'J'])
996: (FiveOfAKind, ['8', 'J', '8', '8', '8'])
997: (FiveOfAKind, ['9', '9', 'J', '9', '9'])
998: (FiveOfAKind, ['T', 'T', 'T', 'J', 'T'])
999: (FiveOfAKind, ['Q', 'J', 'Q', 'Q', 'Q'])
1000: (FiveOfAKind, ['K', 'K', 'K', 'J', 'K'])
result is 255057739
